Price,Price,Price,Area,Address,Locality
"$1,900,000 ",Bed information not found,Bath information not found,Property square footage not available,550552GrantAvenue,SanFranciscoCA94108
"$975,000 ",1 bed,1 bath,"1,091 sq. ft",725FloridaStreetUnit:13,SanFranciscoCA94110
"$849,000 ",3 beds,2 baths,"1,600 sq. ft",1147FitzgeraldAvenue,SanFranciscoCA94124
"$800,000 ",3 beds,1 bath,899 sq. ft,1777GenevaAve,SanFranciscoCA94134
"$1,529,000 ",4 beds,3 baths,"2,679 sq. ft",150NaplesStreet,SanFranciscoCA94112
"$1,395,000 ",4 beds,2 baths,"1,300 sq. ft",217834ThAve,SanFranciscoCA94116
"$1,199,000 ",1 bed,1 bath,"1,274 sq. ft",6502ndStreetUnit:603,SanFranciscoCA94107
"$999,000 ",3 beds,2 baths,934 sq. ft,783FaxonAvenue,SanFranciscoCA94112
"$799,900 ",2 beds,1 bath,876 sq. ft,1100BowdoinSt,SanFranciscoCA94134
"$1,295,000 ",3 beds,1 bath,"1,283 sq. ft",1018PachecoSt,SanFranciscoCA94116
"$699,000 ",2 beds,1 bath,Property square footage not available,1594thAvenueUnit6,SanFranciscoCA94118
"$499,000 ",Bed information not found,Bath information not found,411 sq. ft,1177CaliforniaStreetUnit1403,SanFranciscoCA94108
"$1,299,000 ",4 beds,2 baths,"2,320 sq. ft",156EnclineCourt,SanFranciscoCA94127
"$3,295,000 ",2 beds,2 baths,"2,860 sq. ft",26GraystoneTerrace,SanFranciscoCA94114
"$1,315,000 ",1 bed,1 bath,"1,310 sq. ft",1BristolCourtUnit:216,SanFranciscoCA94130
"$1,190,000 ",1 bed,1 bath,819 sq. ft,4251stStreetUnit:2407,SanFranciscoCA94105
"$1,080,000 ",2 beds,2 baths,"1,382 sq. ft",1388GoughSt801,SanFranciscoCA94109
"$749,000 ",2 beds,1 bath,682 sq. ft,4040BalboaStreetUnit:2,SanFranciscoCA94121
"$5,595,000 ",2 beds,2 baths,"2,505 sq. ft",1100UnionStreetUnit:1100,SanFranciscoCA94109
"$2,888,000 ",3 beds,2 baths,"2,259 sq. ft",1BristolCourtUnit:218,SanFranciscoCA94130
